DATAFLOW,LAST UPDATE,freq,incsrc,indic_il,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,NL,1999,9010,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,NL,2000,9979,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,NL,2001,8600,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,PT,1995,3775,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,PT,1996,6472,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,PT,1997,6273,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,PT,1998,4057,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,PT,1999,5396,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,PT,2000,8779,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,PT,2001,7475,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,UK,1995,11127,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,UK,1996,15847,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,UK,1997,14893,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,UK,1998,15236,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,UK,1999,14231,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,UK,2000,15778,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,UK,2001,19434,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,AT,1995,10135,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,AT,1996,9071,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,AT,1997,8357,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,AT,1998,8393,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,AT,1999,7849,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,AT,2000,9162,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,AT,2001,6936,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,BE,1995,15609,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,BE,1996,17313,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,BE,1997,20940,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,BE,1998,27070,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,BE,1999,27070,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,BE,2000,22360,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,BE,2001,30507,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,DE,1995,8793,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,DE,1996,16438,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,DE,1997,13773,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,DE,1998,12083,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,DE,1999,10077,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,DE,2000,14395,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,DE,2001,12346,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,EL,1995,3960,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,EL,1996,3564,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,EL,1997,3960,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,EL,1998,5762,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,EL,1999,7469,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,EL,2000,6297,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,EL,2001,5940,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,ES,1995,6311,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,ES,1996,5385,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,ES,1997,5770,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,ES,1998,5962,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,ES,1999,4890,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,ES,2000,5031,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,ES,2001,11258,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,FI,1996,18369,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,FI,1997,20652,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,FI,1998,23576,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,FI,1999,27889,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,FI,2000,24114,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,FI,2001,23622,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,FR,1995,6902,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,FR,1996,8457,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,FR,1997,6207,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,FR,1998,9022,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,FR,1999,10408,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,FR,2000,10885,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,FR,2001,11517,
