dates,values,% full,status,Max Storage,country
08/07/2022,122.1818,63.16,C,193.4434,IT
08/07/2022,10.2869,47.19,C,21.8,LV
08/07/2022,79.3491,57.09,C,138.9911,NL
08/07/2022,35.3415,97.06,C,36.4103,PL
08/07/2022,3.7598,100,C,3.57,PT
08/07/2022,15.0553,45.91,C,32.7936,RO
08/07/2022,22.8951,63.51,C,36.0476,SK
08/07/2022,25.7375,73.01,C,35.2503,ES
08/07/2022,0.0707,69.79,C,0.1013,SE
08/07/2022,68.6894,21.13,C,325.0389,UA
08/07/2022,680.0458,61.36,C,1108.3589,eu
07/07/2022,44.9059,47.02,C,95.5024,AT
07/07/2022,5.5221,63.47,C,8.701,BE
07/07/2022,2.0797,35.84,C,5.8025,BG
07/07/2022,1.7015,35.65,C,4.7725,HR
07/07/2022,31.3868,71.7,C,43.7739,CZ
07/07/2022,7.5135,81.4,C,9.23,DK
07/07/2022,87.3231,66.35,C,131.6078,FR
07/07/2022,153.9531,63.39,C,242.8584,DE
07/07/2022,28.8999,42.69,C,67.7027,HU
07/07/2022,121.1451,62.63,C,193.4434,IT
07/07/2022,10.259,47.06,C,21.8,LV
07/07/2022,78.7807,56.68,C,138.9911,NL
07/07/2022,35.4468,97.35,C,36.4103,PL
07/07/2022,3.7598,100,C,3.57,PT
07/07/2022,14.9107,45.47,C,32.7936,RO
07/07/2022,22.7902,63.22,C,36.0476,SK
07/07/2022,25.7017,72.91,C,35.2503,ES
07/07/2022,0.0707,69.79,C,0.1013,SE
07/07/2022,68.3211,21.02,C,325.0582,UA
07/07/2022,676.1504,61,C,1108.3589,eu
06/07/2022,44.6666,46.77,C,95.5024,AT
06/07/2022,5.4768,62.95,C,8.701,BE
06/07/2022,2.0631,35.56,C,5.8025,BG
06/07/2022,1.669,34.97,C,4.7725,HR
06/07/2022,31.22,71.32,C,43.7739,CZ
06/07/2022,7.5005,81.26,C,9.23,DK
06/07/2022,86.5171,65.74,C,131.6078,FR
06/07/2022,153.3392,63.14,C,242.8584,DE
06/07/2022,28.6602,42.33,C,67.7027,HU
06/07/2022,120.2009,62.14,C,193.4434,IT
06/07/2022,10.2199,46.88,C,21.8,LV
06/07/2022,78.3139,56.34,C,138.9911,NL
06/07/2022,35.4479,97.36,C,36.4103,PL
06/07/2022,3.7598,100,C,3.57,PT
06/07/2022,14.7837,45.08,C,32.7936,RO
06/07/2022,22.6981,62.97,C,36.0476,SK
06/07/2022,25.6691,72.82,C,35.2503,ES
06/07/2022,0.0673,66.94,C,0.1006,SE
06/07/2022,67.876,20.91,C,324.6206,UA
06/07/2022,672.2732,60.65,C,1108.3581,eu
05/07/2022,44.4577,46.55,C,95.5024,AT
05/07/2022,5.438,62.5,C,8.701,BE
05/07/2022,2.0543,35.4,C,5.8025,BG
05/07/2022,1.6366,34.29,C,4.7725,HR
05/07/2022,31.0518,70.94,C,43.7739,CZ
05/07/2022,7.473,80.96,C,9.23,DK
05/07/2022,85.8067,65.2,C,131.6078,FR
05/07/2022,152.701,62.88,C,242.8584,DE
05/07/2022,28.4601,42.04,C,67.7027,HU
05/07/2022,119.1948,61.62,C,193.4434,IT
05/07/2022,10.1259,46.45,C,21.8,LV
05/07/2022,77.6675,55.88,C,138.9911,NL
05/07/2022,35.4661,97.41,C,36.4103,PL
05/07/2022,3.7598,100,C,3.57,PT
05/07/2022,14.6668,44.72,C,32.7936,RO
05/07/2022,22.6303,62.78,C,36.0476,SK
05/07/2022,25.6333,72.72,C,35.2503,ES
05/07/2022,0.0558,55.5,C,0.1006,SE
05/07/2022,67.5149,20.81,C,324.5056,UA
05/07/2022,668.2795,60.29,C,1108.3581,eu
04/07/2022,44.2091,46.29,C,95.5024,AT
04/07/2022,5.3918,61.97,C,8.701,BE
04/07/2022,2.0468,35.27,C,5.8025,BG
04/07/2022,1.6056,33.64,C,4.7725,HR
04/07/2022,30.884,70.55,C,43.7739,CZ
04/07/2022,7.4507,80.72,C,9.23,DK
04/07/2022,85.2273,64.76,E,131.6078,FR
04/07/2022,151.972,62.58,C,242.8584,DE
04/07/2022,28.2243,41.69,C,67.7027,HU
04/07/2022,118.281,61.15,C,193.4434,IT
04/07/2022,10.0422,46.07,C,21.8,LV
04/07/2022,77.1079,55.48,C,138.9911,NL
04/07/2022,35.4866,97.46,C,36.4103,PL
04/07/2022,3.7598,100,C,3.57,PT
04/07/2022,14.5393,44.34,C,32.7936,RO
04/07/2022,22.5041,62.43,C,36.0476,SK
04/07/2022,25.5985,72.62,C,35.2503,ES
04/07/2022,0.0558,55.5,C,0.1006,SE
04/07/2022,67.1453,20.69,C,324.5173,UA
04/07/2022,664.3868,59.94,E,1108.3581,eu
03/07/2022,43.9331,46,C,95.5024,AT
03/07/2022,5.327,61.22,C,8.701,BE
03/07/2022,2.0468,35.27,C,5.8025,BG
03/07/2022,1.5722,32.94,C,4.7725,HR
03/07/2022,30.7205,70.18,C,43.7739,CZ
03/07/2022,7.4284,80.48,C,9.23,DK
03/07/2022,84.4948,64.2,C,131.6078,FR
03/07/2022,151.204,62.27,C,242.835,DE
03/07/2022,27.9729,41.32,C,67.7027,HU
03/07/2022,117.4575,60.72,C,193.4434,IT
03/07/2022,9.9759,45.76,C,21.8,LV
03/07/2022,76.5936,55.11,C,138.9911,NL
03/07/2022,35.4885,97.47,C,36.4103,PL
03/07/2022,3.7365,100,C,3.57,PT
03/07/2022,14.4131,43.95,C,32.7936,RO
03/07/2022,22.2663,61.77,C,36.0476,SK
03/07/2022,25.5626,72.52,C,35.2503,ES
03/07/2022,0.0469,47,C,0.0998,SE
03/07/2022,66.8203,20.53,C,325.4387,UA
03/07/2022,660.2406,59.57,C,1108.3339,eu
02/07/2022,43.5259,45.58,C,95.5024,AT
02/07/2022,5.2714,60.58,C,8.701,BE
02/07/2022,2.0468,35.27,C,5.8025,BG
02/07/2022,1.5339,32.14,C,4.7725,HR
02/07/2022,30.5556,69.8,C,43.7739,CZ
02/07/2022,7.3931,80.1,C,9.23,DK
02/07/2022,83.707,63.6,C,131.6078,FR
02/07/2022,150.2005,61.85,C,242.835,DE
02/07/2022,27.683,40.89,C,67.7027,HU
02/07/2022,116.2496,60.09,C,193.4434,IT
02/07/2022,9.9199,45.5,C,21.8,LV
02/07/2022,76.0531,54.72,C,138.9911,NL
02/07/2022,35.4848,97.46,C,36.4103,PL
02/07/2022,3.7115,100,C,3.57,PT
02/07/2022,14.2609,43.49,C,32.7936,RO
02/07/2022,22.0217,61.09,C,36.0476,SK
02/07/2022,25.5267,72.42,C,35.2503,ES
02/07/2022,0.0419,42.02,C,0.0997,SE
02/07/2022,66.4441,20.42,C,325.4387,UA
02/07/2022,655.1873,59.11,C,1108.3338,eu
01/07/2022,43.1701,45.2,C,95.5024,AT
01/07/2022,5.2176,59.97,C,8.701,BE
01/07/2022,2.0468,35.27,C,5.8025,BG
01/07/2022,1.4981,31.39,C,4.7725,HR
01/07/2022,30.375,69.39,C,43.7739,CZ
01/07/2022,7.3535,79.67,C,9.23,DK
01/07/2022,82.9,62.99,C,131.6078,FR
01/07/2022,149.2823,61.47,C,242.835,DE
01/07/2022,27.3932,40.46,C,67.7027,HU
01/07/2022,115.1134,59.51,C,193.4434,IT
01/07/2022,9.8613,45.24,C,21.8,LV
01/07/2022,75.6005,54.39,C,138.9911,NL
01/07/2022,35.478,97.44,C,36.4103,PL
01/07/2022,3.6889,100,C,3.57,PT
01/07/2022,14.1378,43.11,C,32.7936,RO
01/07/2022,21.7765,60.41,C,36.0476,SK
01/07/2022,25.4917,72.32,C,35.2503,ES
01/07/2022,0.039,39.16,C,0.0996,SE
01/07/2022,66.0855,20.33,C,325.0196,UA
01/07/2022,650.4237,58.68,C,1108.3337,eu
30/06/2022,43.0881,45.12,C,95.5024,AT
30/06/2022,5.1435,59.11,C,8.701,BE
30/06/2022,2.0391,35.14,C,5.8025,BG
30/06/2022,1.4636,30.67,C,4.7725,HR
30/06/2022,30.2262,69.05,C,43.7739,CZ
30/06/2022,7.3253,79.36,C,9.23,DK
30/06/2022,82.1438,62.42,C,131.6078,FR
